CPF;MATRICULA;DATA_VENDA;NUMERO;IMPOSTO
7771579779;235;2015-01-02;100;0.1
50534475787;237;2015-01-02;101;0.12
8502682733;236;2015-01-03;102;0.12
5840119709;235;2015-01-04;103;0.12
1471156710;235;2015-01-05;104;0.12
94387575700;236;2015-01-06;105;0.1
3623344710;237;2015-01-07;106;0.1
5576228758;236;2015-01-08;107;0.1
19290992743;237;2015-01-09;108;0.12
94387575700;236;2015-01-10;109;0.12
5840119709;235;2015-01-11;110;0.12
492472718;237;2015-01-12;111;0.1
5840119709;236;2015-01-13;112;0.12
50534475787;235;2015-01-14;113;0.1
94387575700;235;2015-01-15;114;0.1
94387575700;236;2015-01-16;115;0.12
50534475787;235;2015-01-17;116;0.1
8719655770;236;2015-01-18;117;0.12
2600586709;235;2015-01-19;118;0.12
3623344710;236;2015-01-20;119;0.1
3623344710;235;2015-01-21;120;0.1
3623344710;235;2015-01-22;121;0.12
5648641702;237;2015-01-23;122;0.1
50534475787;237;2015-01-24;123;0.12
94387575700;235;2015-01-25;124;0.12
5840119709;237;2015-01-26;125;0.12
7771579779;237;2015-01-27;126;0.12
8502682733;236;2015-01-28;127;0.12
5648641702;237;2015-01-29;128;0.12
5840119709;237;2015-01-30;129;0.12
5576228758;236;2015-01-31;130;0.12
5840119709;236;2015-02-01;131;0.12
5576228758;236;2015-02-02;132;0.1
5576228758;235;2015-02-03;133;0.12
1471156710;235;2015-02-04;134;0.12
5648641702;235;2015-02-05;135;0.12
50534475787;236;2015-02-06;136;0.1
19290992743;237;2015-02-07;137;0.12
5648641702;235;2015-02-08;138;0.1
50534475787;236;2015-02-09;139;0.1
2600586709;237;2015-02-10;140;0.12
8502682733;237;2015-02-11;141;0.1
3623344710;236;2015-02-12;142;0.1
8719655770;236;2015-02-13;143;0.12
50534475787;236;2015-02-14;144;0.12
19290992743;235;2015-02-15;145;0.1
5648641702;236;2015-02-16;146;0.12
492472718;236;2015-02-17;147;0.12
492472718;236;2015-02-18;148;0.1
94387575700;235;2015-02-19;149;0.12
9283760794;236;2015-02-20;150;0.12
8719655770;235;2015-02-21;151;0.1
19290992743;237;2015-02-22;152;0.1
5576228758;237;2015-02-23;153;0.12
50534475787;237;2015-02-24;154;0.1
8502682733;237;2015-02-25;155;0.1
2600586709;237;2015-02-26;156;0.1
94387575700;235;2015-02-27;157;0.1
5840119709;236;2015-02-28;158;0.1
7771579779;237;2015-03-01;159;0.12
2600586709;236;2015-03-02;160;0.1
5576228758;235;2015-03-03;161;0.1
5840119709;235;2015-03-04;162;0.12
7771579779;235;2015-03-05;163;0.1
8502682733;235;2015-03-06;164;0.1
1471156710;235;2015-03-07;165;0.1
8502682733;237;2015-03-08;166;0.1
5576228758;235;2015-03-09;167;0.1
5576228758;235;2015-03-10;168;0.1
5840119709;237;2015-03-11;169;0.12
5840119709;237;2015-03-12;170;0.12
